component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L28H08,attn,28,8,0.00839045524597168,0.02491214033354323,0.61,0.005118177700042725,200
L07_MLP,mlp,7,-1,0.009352731704711913,0.03839649391519359,0.535,0.005003711462020874,200
L44_MLP,mlp,44,-1,0.00926790714263916,0.1073417803676537,0.535,0.0049583303213119505,200
L10_MLP,mlp,10,-1,0.00786407470703125,0.041304227780720834,0.59,0.004639804077148437,200
L34H22,attn,34,22,0.00721829891204834,0.019972803150652287,0.64,0.004619711303710938,200
L33H15,attn,33,15,0.007346358299255371,0.02930349408116056,0.615,0.004518010354042053,200
L14H21,attn,14,21,0.007151389122009277,0.01658921925563397,0.625,0.004469618201255798,200
L47H00,attn,47,0,0.008853778839111329,0.08304571504441055,0.485,0.004294082736968994,200
L33H09,attn,33,9,0.006171236038208008,0.013867759622935242,0.695,0.004289009046554566,200
L39H08,attn,39,8,0.007153778076171875,0.03398871220279408,0.58,0.004149191284179687,200
L42H20,attn,42,20,0.006718034744262695,0.01947883834398339,0.595,0.003997230672836303,200
L26H06,attn,26,6,0.0061465644836425784,0.01810146226281186,0.645,0.003964534091949463,200
L27H06,attn,27,6,0.006169838905334473,0.013052832872662548,0.63,0.0038869985103607177,200
L13_MLP,mlp,13,-1,0.006993956565856933,0.04887892938143402,0.55,0.0038466761112213137,200
L33H05,attn,33,5,0.006063981056213379,0.016443595004544675,0.62,0.003759668254852295,200
L32H21,attn,32,21,0.006741418838500977,0.027397457836723472,0.555,0.0037414874553680427,200
L30H07,attn,30,7,0.006393160820007324,0.02678784948308032,0.585,0.0037399990797042843,200
L18_MLP,mlp,18,-1,0.007301483154296875,0.0616758371171108,0.51,0.003723756408691406,200
L16_MLP,mlp,16,-1,0.006018743515014648,0.05250211384825536,0.585,0.003520964956283569,200
L25H03,attn,25,3,0.005629239082336426,0.014381426557160945,0.625,0.0035182744264602665,200
L19H11,attn,19,11,0.005446019172668457,0.012196257805028213,0.645,0.003512682366371155,200
L31H14,attn,31,14,0.005898385047912597,0.02865434203447153,0.575,0.0033915714025497434,200
L28H21,attn,28,21,0.004996051788330078,0.01850229890186323,0.67,0.0033473546981811525,200
L38H11,attn,38,11,0.005254530906677246,0.02251377050619862,0.62,0.003257809162139892,200
L40_MLP,mlp,40,-1,0.005910439491271973,0.08628315288034624,0.55,0.0032507417201995854,200
L23H01,attn,23,1,0.005006184577941894,0.013910032889064373,0.645,0.003228989052772522,200
L34H23,attn,34,23,0.005256466865539551,0.01305044494257908,0.595,0.0031275977849960328,200
L22H04,attn,22,4,0.00528874397277832,0.015251239118084648,0.59,0.0031203589439392086,200
L39H18,attn,39,18,0.0051549959182739255,0.027447340414432378,0.605,0.003118772530555725,200
L19H07,attn,19,7,0.005176863670349121,0.013405266285035399,0.6,0.0031061182022094724,200
L22H14,attn,22,14,0.004785337448120117,0.010709243540016393,0.645,0.0030865426540374755,200
L31H16,attn,31,16,0.0047971391677856445,0.010925452925208346,0.625,0.002998211979866028,200
L20H22,attn,20,22,0.004867405891418457,0.013523922537894585,0.61,0.002969117593765259,200
L29H02,attn,29,2,0.0048226118087768555,0.014714032047167026,0.61,0.0029417932033538817,200
L47H22,attn,47,22,0.004231300354003906,0.009217254536265816,0.675,0.002856127738952637,200
L41H14,attn,41,14,0.004631671905517578,0.014244592132500624,0.61,0.0028253198623657224,200
L25H07,attn,25,7,0.004454135894775391,0.013664430861838661,0.615,0.0027392935752868653,200
L03H15,attn,3,15,0.004608054161071778,0.011630144317342201,0.585,0.0026957116842269897,200
L31H01,attn,31,1,0.004285831451416016,0.013920688977694374,0.625,0.00267864465713501,200
L26H02,attn,26,2,0.004219894409179688,0.02392190006225116,0.63,0.002658533477783203,200
L18H02,attn,18,2,0.004462199211120605,0.013777653731716674,0.59,0.002632697534561157,200
L02H23,attn,2,23,0.004569969177246094,0.010586389496369584,0.57,0.0026048824310302733,200
L37H09,attn,37,9,0.00431356430053711,0.015001652875548246,0.6,0.0025881385803222657,200
L21H09,attn,21,9,0.004111666679382325,0.012614931632266796,0.62,0.0025492333412170413,200
L25H00,attn,25,0,0.004200024604797363,0.015077369534587059,0.605,0.0025410148859024047,200
L35H08,attn,35,8,0.003788747787475586,0.010669410792538166,0.66,0.0025005735397338868,200
L21H16,attn,21,16,0.0038567733764648436,0.012893612559062784,0.61,0.0023526317596435547,200
L22H13,attn,22,13,0.004373359680175781,0.014329517234840832,0.535,0.002339747428894043,200
L23H24,attn,23,24,0.003715205192565918,0.013731751423845816,0.62,0.0023034272193908694,200
L31H06,attn,31,6,0.0031919956207275392,0.006306676829047071,0.705,0.002250356912612915,200
L37H12,attn,37,12,0.003585853576660156,0.013040442470131508,0.615,0.002205299949645996,200
L25H15,attn,25,15,0.003260931968688965,0.009734252374510194,0.655,0.002135910439491272,200
L16H12,attn,16,12,0.0032784843444824217,0.008910179829855182,0.65,0.002131014823913574,200
L21H00,attn,21,0,0.003721299171447754,0.02379931877935616,0.565,0.002102534031867981,200
L32H01,attn,32,1,0.003360152244567871,0.013312082264054613,0.62,0.00208329439163208,200
L46H03,attn,46,3,0.0038048267364501954,0.031667346537084716,0.545,0.002073630571365357,200
L19H12,attn,19,12,0.0031818914413452148,0.01004608829403015,0.65,0.0020682294368743895,200
L20H04,attn,20,4,0.0032102394104003905,0.010359601495083524,0.615,0.00197429723739624,200
L17H00,attn,17,0,0.003080153465270996,0.009492099488457698,0.62,0.0019096951484680177,200
L36H19,attn,36,19,0.002848834991455078,0.0073045526612505966,0.67,0.0019087194442749024,200
L15_MLP,mlp,15,-1,0.003463301658630371,0.04965291723612393,0.545,0.0018874994039535524,200
L23H14,attn,23,14,0.003409862518310547,0.012022901065287014,0.55,0.0018754243850708009,200
L06H06,attn,6,6,0.0035166549682617188,0.010333826415630382,0.53,0.001863827133178711,200
L34H03,attn,34,3,0.003285994529724121,0.01922030596868019,0.565,0.0018565869092941282,200
L41H12,attn,41,12,0.0027781248092651365,0.008845683235190416,0.66,0.0018335623741149902,200
L27H20,attn,27,20,0.0031055450439453126,0.018934295660630096,0.59,0.0018322715759277342,200
L32H24,attn,32,24,0.003239154815673828,0.015508154778839444,0.565,0.0018301224708557127,200
L25H21,attn,25,21,0.0031803274154663086,0.011835865598389055,0.575,0.0018286882638931274,200
L18H04,attn,18,4,0.003122830390930176,0.010530349005730234,0.58,0.001811241626739502,200
L46H23,attn,46,23,0.0027155447006225585,0.007257907175649916,0.645,0.0017515263319015503,200
L27H07,attn,27,7,0.0025764417648315428,0.008293716178801463,0.67,0.0017262159824371337,200
L24H18,attn,24,18,0.0029667139053344725,0.012225825315649894,0.575,0.0017058604955673216,200
L39H01,attn,39,1,0.002996535301208496,0.01247120262572334,0.565,0.0016930424451828,200
L27H15,attn,27,15,0.0028488492965698243,0.01231234388980557,0.59,0.0016808210849761963,200
L11H16,attn,11,16,0.0027046871185302736,0.00702530644963276,0.61,0.0016498591423034668,200
L16H23,attn,16,23,0.002615318298339844,0.009168381393152469,0.625,0.0016345739364624025,200
L46H19,attn,46,19,0.0027297639846801756,0.013331780962822337,0.595,0.0016242095708847045,200
L27H14,attn,27,14,0.0028832101821899413,0.01694426398673377,0.555,0.0016001816511154177,200
L04H15,attn,4,15,0.003004903793334961,0.011508880445843436,0.53,0.0015925990104675293,200
L24H08,attn,24,8,0.0027649450302124024,0.008455118552817673,0.57,0.0015760186672210692,200
L16H24,attn,16,24,0.002484745979309082,0.007913725638544181,0.63,0.0015653899669647218,200
L21H22,attn,21,22,0.0025835561752319334,0.008953369416470538,0.6,0.00155013370513916,200
L32H14,attn,32,14,0.0022964382171630857,0.0054727723531411915,0.655,0.0015041670322418212,200
L32H07,attn,32,7,0.002427711486816406,0.011910044879487703,0.61,0.0014809040069580076,200
L08H06,attn,8,6,0.0024119138717651365,0.007721747922363237,0.61,0.0014712674617767332,200
L32H15,attn,32,15,0.002190103530883789,0.007006849131758398,0.66,0.0014454683303833007,200
L05H09,attn,5,9,0.0022640275955200196,0.007121865146061633,0.635,0.0014376575231552125,200
L47H06,attn,47,6,0.002659773826599121,0.02131314087715612,0.53,0.0014096801280975343,200
L25H10,attn,25,10,0.002307000160217285,0.008177350317212116,0.605,0.0013957350969314576,200
L21H12,attn,21,12,0.002334561347961426,0.008159127600339,0.595,0.0013890640020370484,200
L20H24,attn,20,24,0.002357640266418457,0.012010426314712832,0.585,0.0013792195558547972,200
L20H11,attn,20,11,0.0023548221588134766,0.013335297481636262,0.58,0.0013657968521118163,200
L12H10,attn,12,10,0.002385129928588867,0.009675766094500864,0.555,0.0013237471103668213,200
L19H05,attn,19,5,0.002142786979675293,0.0072404058430522705,0.61,0.0013071000576019287,200
L23H07,attn,23,7,0.0021480846405029295,0.00629539150278715,0.605,0.0012995912075042723,200
L22H17,attn,22,17,0.002110161781311035,0.007065045068688133,0.615,0.0012977494955062866,200
L22H00,attn,22,0,0.0025150251388549806,0.011612243941531264,0.515,0.001295237946510315,200
L14H18,attn,14,18,0.0018587875366210937,0.0043645462155941705,0.68,0.001263975524902344,200
L24H15,attn,24,15,0.0022518157958984373,0.011375453097530262,0.56,0.001261016845703125,200
