component_idx,cpa
0,0.004689213819801807
1,0.05155849829316139
2,0.007977995090186596
3,0.02243012748658657
4,0.023247264325618744
5,0.008936718106269836
6,0.03611069172620773
7,0.036644309759140015
8,0.009848620742559433
9,0.039212457835674286
10,0.008703311905264854
11,0.0119111817330122
12,0.017063643783330917
13,0.05199667811393738
14,0.017421310767531395
15,0.006333502940833569
16,0.025677941739559174
17,0.020011650398373604
18,0.012405848130583763
19,0.015581335872411728
20,0.002359833102673292
21,0.011920634657144547
22,0.021096806973218918
23,0.030243167653679848
24,0.027830060571432114
25,0.01853114925324917
26,0.02268752083182335
27,0.003074638545513153
28,0.0010843919590115547
29,0.006199371535331011
30,0.019711270928382874
31,0.014516623690724373
32,0.04602302610874176
33,0.029145678505301476
34,0.0014754198491573334
35,0.0012436658143997192
36,0.016642611473798752
37,0.00933796539902687
38,0.018534613773226738
39,0.01666814461350441
40,0.0615774430334568
41,0.016099711880087852
42,0.03012009710073471
43,0.026087872684001923
44,0.004467807710170746
45,0.004925685003399849
46,0.01009106170386076
47,0.03895312175154686
48,0.03271688520908356
49,0.01833384856581688
