component,type,layer,head,mean_ie,consistency,score
L38H09,attn,38,9,-0.00010961055755615235,0.47,-5.15169620513916e-05
L31H02,attn,31,2,-0.000106201171875,0.49,-5.203857421875e-05
L04H10,attn,4,10,-0.00010643482208251954,0.49,-5.215306282043457e-05
L41H22,attn,41,22,-0.00012204170227050781,0.43,-5.247793197631836e-05
L08H21,attn,8,21,-0.00010523319244384766,0.5,-5.261659622192383e-05
L00H21,attn,0,21,-0.00012956619262695314,0.415,-5.376996994018555e-05
L45H00,attn,45,0,-0.00010802268981933593,0.5,-5.401134490966797e-05
L42H17,attn,42,17,-0.00011455535888671875,0.475,-5.441379547119141e-05
L06H11,attn,6,11,-0.00011591434478759766,0.47,-5.4479742050170894e-05
L04H01,attn,4,1,-0.00014150619506835937,0.385,-5.447988510131836e-05
L05H21,attn,5,21,-0.00010954856872558594,0.53,-5.806074142456055e-05
L43H06,attn,43,6,-0.00011676311492919922,0.5,-5.838155746459961e-05
L02H24,attn,2,24,-0.00012404441833496093,0.475,-5.892109870910644e-05
L03H17,attn,3,17,-0.00012826919555664062,0.465,-5.9645175933837894e-05
L11H11,attn,11,11,-0.00012848854064941405,0.465,-5.974717140197754e-05
L10H21,attn,10,21,-0.00012345314025878905,0.485,-5.987477302551269e-05
L00H00,attn,0,0,-0.00011363983154296875,0.535,-6.079730987548828e-05
L42H23,attn,42,23,-0.00012485504150390624,0.49,-6.117897033691405e-05
L03H23,attn,3,23,-0.00012301921844482422,0.505,-6.212470531463623e-05
L30H00,attn,30,0,-0.0001288461685180664,0.485,-6.24903917312622e-05
L34H13,attn,34,13,-0.00011835098266601562,0.53,-6.272602081298828e-05
L45H16,attn,45,16,-0.00013590812683105468,0.465,-6.319727897644043e-05
L37H07,attn,37,7,-0.000126800537109375,0.51,-6.466827392578125e-05
L33H13,attn,33,13,-0.00012937545776367187,0.5,-6.468772888183594e-05
L38H07,attn,38,7,-0.0001248788833618164,0.52,-6.493701934814452e-05
L15H02,attn,15,2,-0.00013137340545654296,0.495,-6.502983570098876e-05
L46H11,attn,46,11,-0.00013881683349609375,0.47,-6.524391174316407e-05
L01H18,attn,1,18,-0.0001436758041381836,0.465,-6.680924892425537e-05
L42H09,attn,42,9,-0.00014831066131591796,0.46,-6.822290420532227e-05
L21H14,attn,21,14,-0.00014972209930419922,0.465,-6.962077617645265e-05
L35H03,attn,35,3,-0.000174102783203125,0.4,-6.964111328125e-05
L37H20,attn,37,20,-0.0001382303237915039,0.515,-7.118861675262451e-05
L40H00,attn,40,0,-0.0001504230499267578,0.475,-7.145094871520995e-05
L46H14,attn,46,14,-0.00018575191497802735,0.385,-7.151448726654053e-05
L20H16,attn,20,16,-0.00014596939086914063,0.49,-7.15250015258789e-05
L43H01,attn,43,1,-0.00017766475677490233,0.405,-7.195422649383546e-05
L13H09,attn,13,9,-0.0001501178741455078,0.485,-7.280716896057129e-05
L37H08,attn,37,8,-0.00015596389770507812,0.47,-7.330303192138672e-05
L30H21,attn,30,21,-0.00013717174530029298,0.535,-7.338688373565675e-05
L21H03,attn,21,3,-0.0001312065124511719,0.56,-7.347564697265626e-05
L39H02,attn,39,2,-0.00015638351440429687,0.47,-7.350025177001952e-05
L33H12,attn,33,12,-0.00014746665954589843,0.51,-7.52079963684082e-05
L28H00,attn,28,0,-0.00015544414520263672,0.49,-7.616763114929199e-05
L22H16,attn,22,16,-0.00016094207763671874,0.475,-7.64474868774414e-05
L02H01,attn,2,1,-0.00020168304443359374,0.38,-7.663955688476562e-05
L01H10,attn,1,10,-0.00015262603759765624,0.505,-7.70761489868164e-05
L09H22,attn,9,22,-0.0001604747772216797,0.49,-7.863264083862305e-05
L13H19,attn,13,19,-0.0001740121841430664,0.455,-7.917554378509521e-05
L47H13,attn,47,13,-0.00018136024475097655,0.45,-8.161211013793945e-05
L07H22,attn,7,22,-0.00017636775970458985,0.465,-8.201100826263428e-05
L08H18,attn,8,18,-0.00016924858093261719,0.485,-8.208556175231933e-05
L06H21,attn,6,21,-0.00016963958740234375,0.485,-8.227519989013672e-05
L21H21,attn,21,21,-0.00016924381256103516,0.49,-8.292946815490722e-05
L22H06,attn,22,6,-0.0001639413833618164,0.515,-8.442981243133545e-05
L06H14,attn,6,14,-0.00018061161041259765,0.47,-8.488745689392089e-05
L06H00,attn,6,0,-0.00018867969512939453,0.455,-8.584926128387451e-05
L37H13,attn,37,13,-0.00018293380737304687,0.475,-8.689355850219726e-05
L43H11,attn,43,11,-0.00018176555633544922,0.48,-8.724746704101562e-05
L30H22,attn,30,22,-0.00019410133361816406,0.45,-8.734560012817382e-05
L04H04,attn,4,4,-0.00018222808837890626,0.48,-8.7469482421875e-05
L30H09,attn,30,9,-0.00019979476928710938,0.44,-8.790969848632813e-05
L05H18,attn,5,18,-0.0001833486557006836,0.48,-8.800735473632812e-05
L43H00,attn,43,0,-0.00022726058959960939,0.39,-8.863162994384767e-05
L36H14,attn,36,14,-0.0002129077911376953,0.42,-8.942127227783203e-05
L42H13,attn,42,13,-0.0002062511444091797,0.435,-8.971924781799316e-05
L10H12,attn,10,12,-0.00020621299743652343,0.445,-9.176478385925292e-05
L24H00,attn,24,0,-0.0002663564682006836,0.345,-9.189298152923584e-05
L19H20,attn,19,20,-0.00017246723175048828,0.535,-9.226996898651124e-05
L03H10,attn,3,10,-0.0001874113082885742,0.495,-9.276859760284423e-05
L40H04,attn,40,4,-0.00021560192108154296,0.435,-9.378683567047119e-05
L41H20,attn,41,20,-0.00023365020751953125,0.405,-9.462833404541016e-05
L47H16,attn,47,16,-0.00022117137908935546,0.43,-9.510369300842285e-05
L13H10,attn,13,10,-0.00019722461700439454,0.49,-9.664006233215332e-05
L35H24,attn,35,24,-0.00021689891815185547,0.45,-9.760451316833497e-05
L01H00,attn,1,0,-0.00022843360900878906,0.43,-9.82264518737793e-05
L10H20,attn,10,20,-0.00019961833953857422,0.495,-9.881107807159423e-05
L47H04,attn,47,4,-0.00022022247314453124,0.45,-9.910011291503906e-05
L36H02,attn,36,2,-0.00022303104400634766,0.445,-9.924881458282472e-05
L10H11,attn,10,11,-0.00021109580993652343,0.475,-0.00010027050971984863
L02H00,attn,2,0,-0.0002399873733520508,0.42,-0.00010079469680786133
L33H20,attn,33,20,-0.00020831584930419922,0.485,-0.00010103318691253662
L13H11,attn,13,11,-0.00019458770751953124,0.52,-0.00010118560791015624
L40H13,attn,40,13,-0.00024353504180908204,0.42,-0.00010228471755981445
L33H07,attn,33,7,-0.00023412227630615235,0.44,-0.00010301380157470704
L29H05,attn,29,5,-0.00024131298065185547,0.43,-0.00010376458168029785
L40H03,attn,40,3,-0.0002126312255859375,0.49,-0.00010418930053710937
L39H11,attn,39,11,-0.0002120637893676758,0.495,-0.00010497157573699952
L41H01,attn,41,1,-0.00024006366729736328,0.445,-0.00010682833194732666
L44H05,attn,44,5,-0.00020603656768798827,0.52,-0.00010713901519775391
L20H19,attn,20,19,-0.00024745941162109377,0.435,-0.00010764484405517578
L45H08,attn,45,8,-0.00026506900787353515,0.41,-0.00010867829322814941
L27H01,attn,27,1,-0.00023133277893066406,0.47,-0.0001087264060974121
L35H10,attn,35,10,-0.0002208518981933594,0.5,-0.0001104259490966797
L35H17,attn,35,17,-0.0002620697021484375,0.43,-0.00011268997192382813
L03H00,attn,3,0,-0.00024241447448730469,0.465,-0.00011272273063659668
L34H18,attn,34,18,-0.000265965461730957,0.425,-0.00011303532123565673
L20H08,attn,20,8,-0.00023552894592285156,0.48,-0.00011305389404296874
L34H05,attn,34,5,-0.00027462959289550784,0.415,-0.00011397128105163575
L16H11,attn,16,11,-0.0002752351760864258,0.415,-0.0001142225980758667
L35H18,attn,35,18,-0.00023351192474365233,0.49,-0.00011442084312438965
L43H02,attn,43,2,-0.00022271156311035156,0.515,-0.00011469645500183105
L02H07,attn,2,7,-0.0002918052673339844,0.395,-0.00011526308059692384
L21H18,attn,21,18,-0.00022950172424316407,0.505,-0.00011589837074279785
L01H14,attn,1,14,-0.00024301528930664062,0.485,-0.0001178624153137207
L23H09,attn,23,9,-0.00022914409637451172,0.515,-0.00011800920963287353
L41H19,attn,41,19,-0.00022930622100830077,0.515,-0.00011809270381927491
L27H11,attn,27,11,-0.00026706695556640627,0.445,-0.0001188447952270508
L36H00,attn,36,0,-0.00025030136108398436,0.48,-0.00012014465332031249
L01H11,attn,1,11,-0.00023878097534179687,0.505,-0.00012058439254760743
L09H02,attn,9,2,-0.0002490806579589844,0.485,-0.00012080411911010742
L46H05,attn,46,5,-0.00026314735412597657,0.46,-0.00012104778289794922
L00H12,attn,0,12,-0.000239410400390625,0.51,-0.00012209930419921874
L46H20,attn,46,20,-0.00027926445007324217,0.44,-0.00012287635803222657
L17H11,attn,17,11,-0.0002649974822998047,0.475,-0.00012587380409240722
L09H04,attn,9,4,-0.0002745676040649414,0.46,-0.00012630109786987304
L05H16,attn,5,16,-0.00027495861053466797,0.47,-0.00012923054695129394
L00H13,attn,0,13,-0.0002786540985107422,0.465,-0.0001295741558074951
L12H06,attn,12,6,-0.00029704570770263674,0.445,-0.00013218533992767335
L22H24,attn,22,24,-0.0002864694595336914,0.465,-0.0001332082986831665
L46H16,attn,46,16,-0.00033326148986816405,0.4,-0.00013330459594726563
L23H18,attn,23,18,-0.00027864933013916016,0.48,-0.00013375167846679686
L20H03,attn,20,3,-0.0002829647064208984,0.485,-0.00013723788261413574
L06H13,attn,6,13,-0.0002668237686157227,0.515,-0.00013741424083709718
L43H21,attn,43,21,-0.0003132009506225586,0.44,-0.00013780841827392578
L41H02,attn,41,2,-0.0002833747863769531,0.49,-0.00013885364532470704
L11H22,attn,11,22,-0.0003182554244995117,0.44,-0.00014003238677978515
L01H02,attn,1,2,-0.0003244543075561523,0.435,-0.00014113762378692625
L33H16,attn,33,16,-0.00032156944274902344,0.44,-0.0001414905548095703
L41H18,attn,41,18,-0.00041634559631347656,0.34,-0.00014155750274658205
L23H06,attn,23,6,-0.0003273248672485352,0.435,-0.0001423863172531128
L01H07,attn,1,7,-0.0003110980987548828,0.46,-0.0001431051254272461
L11H01,attn,11,1,-0.00030961513519287107,0.465,-0.00014397103786468506
L41H16,attn,41,16,-0.0003959894180297852,0.365,-0.0001445361375808716
L16H04,attn,16,4,-0.00027530670166015626,0.53,-0.00014591255187988283
L36H13,attn,36,13,-0.0002523469924926758,0.58,-0.00014636125564575195
L12H16,attn,12,16,-0.00032971382141113283,0.445,-0.0001467226505279541
L35H06,attn,35,6,-0.00031897544860839846,0.46,-0.0001467287063598633
L04H20,attn,4,20,-0.0003190803527832031,0.46,-0.00014677696228027344
L10H14,attn,10,14,-0.00031925201416015624,0.46,-0.00014685592651367187
L42H11,attn,42,11,-0.00036321163177490236,0.405,-0.00014710071086883547
L29H19,attn,29,19,-0.00033022403717041014,0.45,-0.00014860081672668458
L09H15,attn,9,15,-0.00031691551208496094,0.47,-0.00014895029067993164
L29H14,attn,29,14,-0.0003313016891479492,0.45,-0.00014908576011657716
L08H04,attn,8,4,-0.00033057689666748046,0.455,-0.00015041248798370363
L32H00,attn,32,0,-0.00030098438262939455,0.5,-0.00015049219131469727
L01H16,attn,1,16,-0.0003519916534423828,0.43,-0.0001513564109802246
L05H23,attn,5,23,-0.00034276008605957034,0.445,-0.0001525282382965088
L08H01,attn,8,1,-0.0003284883499145508,0.465,-0.0001527470827102661
L32H10,attn,32,10,-0.0003442525863647461,0.445,-0.00015319240093231203
L05H00,attn,5,0,-0.00034087181091308594,0.45,-0.00015339231491088868
L45H09,attn,45,9,-0.00032105445861816404,0.48,-0.00015410614013671874
L43H09,attn,43,9,-0.0003444290161132813,0.45,-0.00015499305725097658
L03H01,attn,3,1,-0.0003584432601928711,0.44,-0.0001577150344848633
L12H04,attn,12,4,-0.0003361701965332031,0.47,-0.00015799999237060545
L30H02,attn,30,2,-0.00032086849212646483,0.495,-0.00015882990360260009
L40H09,attn,40,9,-0.00035097599029541013,0.46,-0.00016144895553588866
L45H11,attn,45,11,-0.00034836292266845706,0.465,-0.00016198875904083253
L08H11,attn,8,11,-0.0003817939758300781,0.425,-0.0001622624397277832
L37H22,attn,37,22,-0.0004335784912109375,0.375,-0.00016259193420410157
L06H07,attn,6,7,-0.0003644466400146484,0.45,-0.0001640009880065918
L08H19,attn,8,19,-0.00035761356353759767,0.46,-0.00016450223922729495
L33H04,attn,33,4,-0.0004509115219116211,0.365,-0.0001645827054977417
L44H21,attn,44,21,-0.0003371906280517578,0.49,-0.00016522340774536133
L18H10,attn,18,10,-0.00038050174713134767,0.435,-0.00016551826000213625
L04H03,attn,4,3,-0.00039886474609375,0.415,-0.00016552886962890626
L22H23,attn,22,23,-0.00036527633666992186,0.455,-0.00016620073318481446
L43H10,attn,43,10,-0.0004391765594482422,0.38,-0.00016688709259033202
L46H21,attn,46,21,-0.00032066822052001954,0.525,-0.00016835081577301026
L29H04,attn,29,4,-0.00034807682037353517,0.485,-0.00016881725788116456
L05H13,attn,5,13,-0.00034503936767578126,0.49,-0.00016906929016113282
L36H18,attn,36,18,-0.0004079723358154297,0.415,-0.00016930851936340332
L42H06,attn,42,6,-0.0003461742401123047,0.5,-0.00017308712005615235
L35H22,attn,35,22,-0.00035262584686279296,0.495,-0.00017454979419708253
L29H08,attn,29,8,-0.00033931732177734376,0.52,-0.00017644500732421877
L46H01,attn,46,1,-0.0003607368469238281,0.49,-0.00017676105499267577
L26H08,attn,26,8,-0.0003919363021850586,0.455,-0.00017833101749420167
L47H11,attn,47,11,-0.00042030811309814455,0.425,-0.00017863094806671144
L21H24,attn,21,24,-0.0004033946990966797,0.445,-0.00017951064109802246
L13H03,attn,13,3,-0.00036683082580566404,0.49,-0.0001797471046447754
L43H05,attn,43,5,-0.0004457378387451172,0.405,-0.00018052382469177248
L09H11,attn,9,11,-0.0003938150405883789,0.47,-0.00018509306907653808
L14H14,attn,14,14,-0.00043055057525634763,0.43,-0.00018513674736022947
L45H14,attn,45,14,-0.00048732757568359375,0.38,-0.00018518447875976563
L20H15,attn,20,15,-0.00045832633972167966,0.405,-0.00018562216758728027
