component_idx,cpa
0,0.0008455879869870842
1,0.04127667099237442
2,0.013920990750193596
3,0.043435920029878616
4,0.046327557414770126
5,0.0054993159137666225
6,0.019400963559746742
7,0.01663864776492119
8,0.024281397461891174
9,0.009164271876215935
10,0.021573632955551147
11,0.021556051447987556
12,0.011344565078616142
13,0.009228425100445747
14,0.0013847509399056435
15,0.02482615038752556
16,0.0026094894856214523
17,0.04036455973982811
18,0.05097906291484833
19,0.019934913143515587
20,0.03860093653202057
21,0.0372864305973053
22,0.03503701090812683
23,0.03946243226528168
24,0.04044289514422417
25,0.08537319302558899
26,0.00823815818876028
27,0.007277200929820538
28,0.023263178765773773
29,0.03176578879356384
30,0.01134436298161745
31,0.07593037188053131
32,0.0264116358011961
33,0.041974034160375595
34,0.020306723192334175
35,0.06486904621124268
36,0.031421959400177
37,0.025039751082658768
38,0.030640859156847
39,0.05527707189321518
40,0.03287898004055023
41,0.016060542315244675
42,0.01270708441734314
43,0.00635290564969182
44,0.027516163885593414
45,0.0514882430434227
46,0.012684754095971584
47,0.05407870188355446
48,0.07090924680233002
49,0.045417092740535736
